Taxonomic Class	Reads	Percent	pH7.1 (reads)	pH7.1 (percent)	pH8.2 (reads)	pH8.2 (percent)
Alphaproteobacteria	107186188	37.65	58991414	41.81	48194774	33.56
Gammaproteobacteria	82436730	28.95	35085889	24.87	47350841	32.97
Flavobacteriia	29975460	10.53	12886209	9.13	17089251	11.9
Candidatus Poseidoniia	18131968	6.37	11376521	8.06	6755447	4.7
Deltaproteobacteria	14072153	4.94	8218175	5.82	5853978	4.08
Betaproteobacteria	10133571	3.56	4699507	3.33	5434064	3.78
Cytophagia	6462912	2.27	3382320	2.4	3080592	2.15
Bivalvia	5399814	1.9	510210	0.36	4889604	3.4
Actinobacteria	4459006	1.57	2002590	1.42	2456416	1.71
Acidimicrobiia	2134277	0.75	1336183	0.95	798094	0.56
Oligoflexia	1297214	0.46	688981	0.49	608233	0.42
Haptophyta	1121224	0.39	1079829	0.77	41395	0.03
Bacilli	303089	0.11	0	0	303089	0.21
Opitutae	250737	0.09	169008	0.12	81729	0.06
Epsilonproteobacteria	244380	0.09	132329	0.09	112051	0.08
Eustigmatophyceae	244028	0.09	139503	0.1	104525	0.07
Verrucomicrobiae	221408	0.08	221408	0.16	0	0
Planctomycetia	132179	0.05	63142	0.04	69037	0.05
Mamiellophyceae	120042	0.04	120042	0.09	0	0
Mammalia	105836	0.04	0	0	105836	0.07
Nitrospinia	101498	0.04	0	0	101498	0.07
Spirotrichea	46476	0.02	0	0	46476	0.03
Oligohymenophorea	43374	0.02	0	0	43374	0.03
Bacteroidia	36336	0.01	0	0	36336	0.03
Saprospiria	28755	0.01	0	0	28755	0.02
Sphingobacteriia	27900	0.01	0	0	27900	0.02
TOTALS	284716555		141103260		143613295	
