#Datasets	 pH:8.2	 pH:7.1
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Bacteroidia;"	0.000000	0.025301
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Cytophagia;"	2.397053	2.145061
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;"	9.132466	11.899491
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Saprospiria;"	0.000000	0.020023
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;"	0.000000	0.019427
"root;cellular organisms;Bacteria;Nitrospinae/Tectomicrobia group;Nitrospinae;Nitrospinia;"	0.000000	0.070675
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;"	41.807262	33.558712
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;"	3.330544	3.783817
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;"	5.824227	4.076209
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;"	0.093782	0.078023
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;"	24.865395	32.971073
"root;cellular organisms;Bacteria;Proteobacteria;Oligoflexia;"	0.488281	0.423521
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;"	0.044749	0.048071
"root;cellular organisms;Bacteria;PVC group;Verrucomicrobia;Opitutae;"	0.119776	0.056909
"root;cellular organisms;Bacteria;PVC group;Verrucomicrobia;Verrucomicrobiae;"	0.156912	0.000000
"root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria <actinobacteria>;Acidimicrobiia;"	0.946954	0.555724
"root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria <actinobacteria>;Actinobacteria;"	1.419237	1.710438
"root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;"	0.000000	0.211045
"root;cellular organisms;Archaea;Euryarchaeota;Diaforarchaea group;Candidatus Poseidoniia;"	8.062549	4.703915
"root;cellular organisms;Eukaryota;Alveolata;Ciliophora;Intramacronucleata;Oligohymenophorea;"	0.000000	0.030202
"root;cellular organisms;Eukaryota;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;"	0.000000	0.032362
"root;cellular organisms;Eukaryota;Haptista;Haptophyta;"	0.765276	0.028824
"root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;"	0.000000	0.073695
"root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;"	0.361586	3.404701
"root;cellular organisms;Eukaryota;Stramenopiles;Eustigmatophyceae;"	0.098866	0.072782
"root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;"	0.085074	0.000000
